TenureGroup,CityTier,用户数,流失人数,流失率,平均订单数,平均满意度,样本提示
新用户,2,15,14,0.9333333333333333,1.5333333333333334,3.7333333333333334,小样本
新用户,3,181,104,0.574585635359116,2.0552486187845305,3.160220994475138,可观察
新用户,1,312,154,0.4935897435897436,1.810897435897436,3.1634615384615383,可观察
0-6个月,2,55,22,0.4,2.1272727272727274,3.272727272727273,可观察
0-6个月,3,562,162,0.28825622775800713,2.823843416370107,3.030249110320285,可观察
0-6个月,1,1025,241,0.23512195121951218,2.6370731707317074,3.1141463414634147,可观察
7-12个月,2,82,12,0.14634146341463414,2.0,3.2560975609756095,可观察
7-12个月,3,462,60,0.12987012987012986,2.9155844155844157,2.813852813852814,可观察
13-24个月,3,408,42,0.10294117647058823,3.8848039215686274,3.2279411764705883,可观察
7-12个月,1,1040,84,0.08076923076923077,2.731730769230769,3.0471153846153847,可观察
13-24个月,1,989,53,0.05358948432760364,3.6491405460060666,3.037411526794742,可观察
24个月以上,1,300,0,0.0,3.1266666666666665,3.046666666666667,可观察
13-24个月,2,70,0,0.0,3.442857142857143,2.9857142857142858,可观察
24个月以上,2,20,0,0.0,3.9,3.3,小样本
24个月以上,3,109,0,0.0,4.63302752293578,3.0275229357798166,可观察
